"Year","StockName","SeriesLabel","Values"
2003,"Nanaimo","Esc (AUC & MR)",1602
2004,"Nanaimo","Esc (Swim/Visual)",NA
2004,"Nanaimo","Esc (AUC & MR)",425
2005,"Nanaimo","Esc (Swim/Visual)",NA
2005,"Nanaimo","Esc (AUC & MR)",850
2006,"Nanaimo","Esc (Swim/Visual)",NA
2006,"Nanaimo","Esc (AUC & MR)",1938
2007,"Nanaimo","Esc (Swim/Visual)",NA
2007,"Nanaimo","Esc (AUC & MR)",2089
2008,"Nanaimo","Esc (Swim/Visual)",NA
2008,"Nanaimo","Esc (AUC & MR)",2535
2009,"Nanaimo","Esc (Swim/Visual)",NA
2009,"Nanaimo","Esc (AUC & MR)",1319
2010,"Nanaimo","Esc (Swim/Visual)",NA
2010,"Nanaimo","Esc (AUC & MR)",2045
2011,"Nanaimo","Esc (Swim/Visual)",NA
2011,"Nanaimo","Esc (AUC & MR)",3771
2012,"Nanaimo","Esc (Swim/Visual)",NA
2012,"Nanaimo","Esc (AUC & MR)",855
2013,"Nanaimo","Esc (Swim/Visual)",NA
2013,"Nanaimo","Esc (AUC & MR)",551
2014,"Nanaimo","Esc (Swim/Visual)",NA
2014,"Nanaimo","Esc (AUC & MR)",1564
2015,"Nanaimo","Esc (Swim/Visual)",NA
2015,"Nanaimo","Esc (AUC & MR)",2965
2016,"Nanaimo","Esc (Swim/Visual)",NA
2016,"Nanaimo","Esc (AUC & MR)",1798
2017,"Nanaimo","Esc (Swim/Visual)",NA
1975,"Situk","Esc",NA
1976,"Situk","Esc",1421
1977,"Situk","Esc",1732
1978,"Situk","Esc",808
1979,"Situk","Esc",1284
1980,"Situk","Esc",905
1981,"Situk","Esc",702
1982,"Situk","Esc",434
1983,"Situk","Esc",592
1984,"Situk","Esc",1726
1985,"Situk","Esc",1521
1986,"Situk","Esc",2067
1987,"Situk","Esc",1379
1988,"Situk","Esc",868
1989,"Situk","Esc",637
1990,"Situk","Esc",628
1991,"Situk","Esc",889
1992,"Situk","Esc",1595
1993,"Situk","Esc",952
1994,"Situk","Esc",1271
1995,"Situk","Esc",4330
1996,"Situk","Esc",1800
1997,"Situk","Esc",1878
1998,"Situk","Esc",924
1999,"Situk","Esc",1461
2000,"Situk","Esc",1785
2001,"Situk","Esc",656
2002,"Situk","Esc",1000
2003,"Situk","Esc",2117
2004,"Situk","Esc",757
2005,"Situk","Esc",610
2006,"Situk","Esc",747
2007,"Situk","Esc",677
2008,"Situk","Esc",413
2009,"Situk","Esc",902
2010,"Situk","Esc",197
2011,"Situk","Esc",240
2012,"Situk","Esc",322
2013,"Situk","Esc",912
2014,"Situk","Esc",475
2015,"Situk","Esc",174
2016,"Situk","Esc",329
2017,"Situk","Esc",1187
2018,"Situk","Esc",420
2019,"Situk","Esc",623
2020,"Situk","Esc",1197
2021,"Situk","Esc",1064
2022,"Situk","Esc",890
1975,"Alsek","Esc",NA
1976,"Alsek","Esc",5282
1977,"Alsek","Esc",12706
1978,"Alsek","Esc",12034
1979,"Alsek","Esc",17354
1980,"Alsek","Esc",10718
1981,"Alsek","Esc",8587
1982,"Alsek","Esc",9584
1983,"Alsek","Esc",10344
1984,"Alsek","Esc",7213
1985,"Alsek","Esc",6087
1986,"Alsek","Esc",11069
1987,"Alsek","Esc",11276
1988,"Alsek","Esc",8852
1989,"Alsek","Esc",10178
1990,"Alsek","Esc",8775
1991,"Alsek","Esc",11667
1992,"Alsek","Esc",5773
1993,"Alsek","Esc",13917
1994,"Alsek","Esc",15970
1995,"Alsek","Esc",24772
1996,"Alsek","Esc",15922
1997,"Alsek","Esc",12494
1998,"Alsek","Esc",6833
1999,"Alsek","Esc",14615
