year,StockName,LineType,Note,Agency Goal,ESA Recovery Goal,Minimun Natural Escapement Goal,PSC-Agreed Goal,Lower Goal,Upper Goal,Smsy
1986,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1987,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1988,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1989,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1990,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1991,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1992,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1993,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1994,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1995,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1996,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1997,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1998,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1999,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2000,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2001,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2002,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2003,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2004,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2005,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2006,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2007,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2008,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2009,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2010,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2011,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2012,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2013,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2014,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2015,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2016,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2017,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2018,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2019,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2020,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2021,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2022,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2023,South Umpqua,Dotted,State Goal,,,,,1493,8284,
2024,South Umpqua,Dotted,State Goal,,,,,1493,8284,
1986,Coquille,Dotted,State Goal,,,,,2833,13782,
1987,Coquille,Dotted,State Goal,,,,,2833,13782,
1988,Coquille,Dotted,State Goal,,,,,2833,13782,
1989,Coquille,Dotted,State Goal,,,,,2833,13782,
1990,Coquille,Dotted,State Goal,,,,,2833,13782,
1991,Coquille,Dotted,State Goal,,,,,2833,13782,
1992,Coquille,Dotted,State Goal,,,,,2833,13782,
1993,Coquille,Dotted,State Goal,,,,,2833,13782,
1994,Coquille,Dotted,State Goal,,,,,2833,13782,
1995,Coquille,Dotted,State Goal,,,,,2833,13782,
1996,Coquille,Dotted,State Goal,,,,,2833,13782,
1997,Coquille,Dotted,State Goal,,,,,2833,13782,
1998,Coquille,Dotted,State Goal,,,,,2833,13782,
1999,Coquille,Dotted,State Goal,,,,,2833,13782,
2000,Coquille,Dotted,State Goal,,,,,2833,13782,
2001,Coquille,Dotted,State Goal,,,,,2833,13782,
2002,Coquille,Dotted,State Goal,,,,,2833,13782,
2003,Coquille,Dotted,State Goal,,,,,2833,13782,
2004,Coquille,Dotted,State Goal,,,,,2833,13782,
2005,Coquille,Dotted,State Goal,,,,,2833,13782,
2006,Coquille,Dotted,State Goal,,,,,2833,13782,
2007,Coquille,Dotted,State Goal,,,,,2833,13782,
2008,Coquille,Dotted,State Goal,,,,,2833,13782,
2009,Coquille,Dotted,State Goal,,,,,2833,13782,
2010,Coquille,Dotted,State Goal,,,,,2833,13782,
2011,Coquille,Dotted,State Goal,,,,,2833,13782,
2012,Coquille,Dotted,State Goal,,,,,2833,13782,
2013,Coquille,Dotted,State Goal,,,,,2833,13782,
2014,Coquille,Dotted,State Goal,,,,,2833,13782,
2015,Coquille,Dotted,State Goal,,,,,2833,13782,
2016,Coquille,Dotted,State Goal,,,,,2833,13782,
2017,Coquille,Dotted,State Goal,,,,,2833,13782,
2018,Coquille,Dotted,State Goal,,,,,2833,13782,
2019,Coquille,Dotted,State Goal,,,,,2833,13782,
2020,Coquille,Dotted,State Goal,,,,,2833,13782,
2021,Coquille,Dotted,State Goal,,,,,2833,13782,
2022,Coquille,Dotted,State Goal,,,,,2833,13782,
2023,Coquille,Dotted,State Goal,,,,,2833,13782,
2024,Coquille,Dotted,State Goal,,,,,2833,13782,
1975,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1976,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1977,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1978,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1979,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1980,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1981,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1982,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1983,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1984,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1985,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1986,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1987,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1988,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1989,Atnarko Wild,NA,NA,NA,NA,NA,NA,,,
1990,Atnarko Wild,Dotted,"Adopted in 2019, unofficial before then, but CTC plots it starting in 1990",NA,NA,NA,5009,,,
1991,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
1992,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
1993,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
1994,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
1995,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
1996,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
1997,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
1998,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
1999,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
2000,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
2001,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
2002,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
2003,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
2004,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
2005,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
2006,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
2007,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
2008,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
2009,Atnarko Wild,Dotted,NA,NA,NA,NA,5009,,,
