stock_location_name,release_location_rmis_basin,hatchery_location_name,release_location_name,run,number_of_broodyears,year_range,total_recoveries
BC- CAPILANO R,DUWA,SOOS CREEK HATCHERY,ICY CR       09.0125,NA,1,1974-1974,7
BC- RIVERS INLET,EKPS,MINTER CR HATCHERY,MINTER CR    15.0048,Fall,4,1972-1975,7
BIG BEEF CR  15.0389,WKIT,BIG BEEF CR HATCHERY,BIG BEEF CR  15.0389,Fall,1,2002-2002,47
BIG BEEF CR  15.0389,WKIT,RFEG 6 HOOD CANAL,BIG BEEF CR  15.0389,Fall,1,1993-1993,69
BIG QUILCENE 17.0012,LUDA,QUILCENE NFH,BIG QUILCENE 17.0012,Fall,3,1972-1974,58
BIG QUILCENE 17.0012,LUDA,QUILCENE NFH,BIG QUILCENE 17.0012,Spring,6,1985-1990,389
BIG QUILCENE 17.0012,SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,Spring,5,1988-1992,539
BIG SOOS CR  09.0072,BESA,SOOS CREEK HATCHERY,FRIDAY CR    03.0017,Fall,1,1972-1972,86
BIG SOOS CR  09.0072,DES,ALLISON SPRINGS HAT.,MCLANE CR    13.0138,Fall,2,1978-1979,99
BIG SOOS CR  09.0072,DES,CAPITOL LK REARING,CAPITOL LK (THUR),Fall,1,1989-1989,218
BIG SOOS CR  09.0072,DUWA,CRISP CR REARING PON,CRISP CR     09.0113,Fall,3,1979-1982,42
BIG SOOS CR  09.0072,DUWA,ICY CR HATCHERY,GREEN R      09.0001,Fall,10,1994-2007,3791
BIG SOOS CR  09.0072,DUWA,ICY CR HATCHERY,ICY CR       09.0125,Fall,16,1987-2020,4058
BIG SOOS CR  09.0072,DUWA,KETA CREEK COMPLEX,GREEN R      09.0001,Fall,1,1993-1993,49
BIG SOOS CR  09.0072,DUWA,KETA CREEK COMPLEX,GREEN R+TRIBS ABV HH,Fall,2,1994-1995,105
BIG SOOS CR  09.0072,DUWA,KETA CREEK COMPLEX,PALMER HATCHERY,Fall,3,2011-2013,483
BIG SOOS CR  09.0072,DUWA,LAEBUGTEN WHARF NETP,GREEN R      09.0001,Fall,1,1988-1988,194
BIG SOOS CR  09.0072,DUWA,PALMER HATCHERY,GREEN R      09.0001,Fall,1,2019-2019,75
BIG SOOS CR  09.0072,DUWA,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,Fall,42,1971-2021,54981
BIG SOOS CR  09.0072,DUWA,SOOS CREEK HATCHERY,CRISP CR     09.0113,Fall,2,1975-1978,77
BIG SOOS CR  09.0072,DUWA,SOOS CREEK HATCHERY,GREEN R      09.0001,Fall,3,1986-1988,3093
BIG SOOS CR  09.0072,EKPS,COULTER CR REARING POND,COULTER CR   15.0002,Fall,2,1979-1980,41
BIG SOOS CR  09.0072,EKPS,FOX ISLAND NET PENS,ECHO BAY -FOX ISLAND,Fall,1,1989-1989,389
BIG SOOS CR  09.0072,EKPS,MINTER CR HATCHERY,MINTER CR    15.0048,Fall,2,1974-1980,62
BIG SOOS CR  09.0072,LAKW,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,Fall,2,1971-2020,278
BIG SOOS CR  09.0072,NISQ,KALAMA CR HATCHERY,KALAMA CR    11.0017,Fall,3,1979-1982,182
BIG SOOS CR  09.0072,NISQ,VOIGHTS CR HATCHERY,NISQUALLY R  11.0008,Fall,1,1971-1971,81
