release_location_rmis_basin,hatchery_location_name,release_stage,run,number_of_broodyears,year_range,total_recoveries,use
BESA,ANACORTES NET PENS,Y,Fall,1,1994-1994,5,no
BESA,FIDALGO BAY NET PENS,Y,Fall,4,1993-1997,77,no
BESA,MARBLEMOUNT HATCHERY,S,Fall,2,1972-1974,88,no
BESA,SAMISH HATCHERY,P,Fall,1,1975-1975,182,no
BESA,SAMISH HATCHERY,S,Fall,14,1971-1993,10435,yes
BESA,SAMISH HATCHERY,Y,Fall,8,1994-2005,158,yes
BESA,SAMISH HATCHERY,NA,Fall,28,1994-2021,34430,yes
BESA,SOOS CREEK HATCHERY,G,Fall,1,1972-1972,86,no
BESA,WHATCOM CR HATCHERY,S,Fall,2,1991-1992,89,no
BESA,WHATCOM CR HATCHERY,Y,Fall,2,1994-1996,9,no
BESA,WHATCOM CR HATCHERY,NA,Fall,2,1994-1997,144,no
CHAM,CHAMBERS CR HATCHERY,Y,Fall,2,1997-2002,188,no
CHAM,GARRISON HATCHERY,S,Fall,7,1979-1991,825,yes
CHAM,GARRISON HATCHERY,Y,Fall,5,1993-2021,499,no
CHAM,GARRISON HATCHERY,NA,Fall,17,2002-2021,6513,yes
CHAM,LAKEWOOD HATCHERY,Y,Fall,6,2003-2008,847,yes
CHAM,NARROWS MARINA PENS,G,Fall,1,2019-2019,112,no
CHAM,NARROWS MARINA PENS,S,Fall,4,1972-1988,206,no
DES,ALLISON SPRINGS HAT.,S,Fall,4,1977-1987,1090,no
DES,BINGHAM CR HATCHERY,S,Fall,1,1971-1971,188,no
DES,CAPITOL LK REARING,S,Fall,15,1971-1991,7167,yes
DES,CAPITOL LK REARING,S,Spring,1,1974-1974,121,no
DES,CAPITOL LK REARING,S,NA,1,1972-1972,147,no
DES,GEORGE ADAMS HATCHERY,S,Fall,1,1987-1987,17,no
DES,MINTER CR HATCHERY,S,Fall,1,1978-1978,30,no
DES,MINTER CR HATCHERY,NA,Fall,1,2018-2018,539,no
DES,PERCIVAL COVE NET PN,S,Fall,1,1992-1992,154,no
DES,PERCIVAL COVE NET PN,Y,Fall,9,1993-2001,541,yes
DES,SOUTH SOUND NET PENS,S,Fall,1,1990-1990,6,no
DES,TUMWATER FALLS HATCHERY,Y,Fall,6,2002-2007,288,yes
DES,TUMWATER FALLS HATCHERY,NA,Fall,9,2000-2021,3448,yes
DES,ZITTEL'S MARINA PENS,S,Fall,3,1988-1990,47,no
DES,NA,NA,Fall,1,2002-2002,9,no
DUWA,CRISP CR REARING PON,G,Fall,1,1982-1982,33,no
DUWA,CRISP CR REARING PON,S,Fall,2,1979-1981,9,no
DUWA,DES MOINES NET PENS,Y,Fall,1,1997-1997,1,no
DUWA,ELLIOTT BAY SEAPENS,S,Fall,8,1972-1991,706,yes
DUWA,ELLIOTT BAY SEAPENS,S,Spring,1,1975-1975,11,no
DUWA,ICY CR HATCHERY,S,Fall,5,1987-1992,1255,no
DUWA,ICY CR HATCHERY,Y,Fall,19,1993-2019,6341,yes
DUWA,ICY CR HATCHERY,NA,Fall,2,2014-2020,253,no
DUWA,KETA CREEK COMPLEX,G,Fall,6,1993-2013,637,yes
DUWA,LAEBUGTEN WHARF NETP,S,Fall,1,1988-1988,194,no
DUWA,MARBLEMOUNT HATCHERY,S,Fall,1,1996-1996,4,no
DUWA,PALMER HATCHERY,NA,Fall,1,2019-2019,75,no
DUWA,SOOS CREEK HATCHERY,G,Fall,1,1980-1980,77,no
DUWA,SOOS CREEK HATCHERY,P,Fall,1,1972-1972,46,no
