stock_location_name,release_location_rmis_basin,hatchery_location_name,release_location_name,run,number_of_broodyears,year_range,total_recoveries
BOGACHIEL R  20.0162,QUHO,NA,BOGACHIEL R  20.0162,Fall,1,1974-1974,3
COOK CR      21.0429,QEQU,QUINAULT NFH -COOK C,COOK CR      21.0429,Fall,24,1974-2009,4547
COOK CR      21.0429,QEQU,SALMON R FISH CULTUR,SALMON R     21.0139,Fall,1,1989-1989,338
COWLITZ R    26.0002,QUHO,SOLDUC HATCHERY,SOL DUC R   20.0096,Spring,1,1972-1972,213
COWLITZ X UMPQUA R,QUHO,SOLDUC HATCHERY,SOL DUC R   20.0096,Spring,1,1971-1971,1284
DESCHUTES R  13.0028,QEQU,QUINAULT LK HATCHERY,QUINAULT R   21.0398,Fall,2,1980-1981,57
DESCHUTES R  13.0028,QEQU,QUINAULT LK HATCHERY,SALMON R     21.0139,Fall,2,1980-1981,12
DUNGENESS R  18.0018,QUHO,SOLDUC HATCHERY,SOL DUC R   20.0096,Spring,3,1971-1981,729
FORK CR      24.0356,QEQU,QUINAULT NFH -COOK C,COOK CR      21.0429,Fall,1,1973-1973,336
GREEN R + SAMISH,QEQU,QUINAULT LK HATCHERY,SALMON R     21.0139,Fall,1,1978-1978,6
HOH R        20.0422,QUHO,CHALAAT CR HATCHERY,CHALAAT CR   20.0423,Fall,3,1981-1984,121
HOH R        20.0422,QUHO,CHALAAT CR HATCHERY,CHALAAT CR   20.0423,Spring,1,1982-1982,5
HOH R        20.0422,QUHO,CHALAAT CR HATCHERY,HOH R        20.0422,Fall,1,1979-1979,6
HOH R        20.0422,QUHO,CHALAAT CR HATCHERY,TAFT CR      20.0512,Spring,1,1984-1984,18
HOH R        20.0422,QUHO,QUINAULT NFH -COOK C,HOH R        20.0422,Fall,1,1980-1980,5
HOH R        20.0422,QUHO,SOLDUC HATCHERY,HOH R        20.0422,Fall,1,1978-1978,1
HOH R        20.0422,QUHO,SOLDUC HATCHERY,HOH R        20.0422,Spring,1,1979-1979,29
HOH R        20.0422,QUHO,SOLDUC HATCHERY,TAFT CR      20.0512,Spring,2,1977-1980,90
HOH R        20.0422,QUHO,NA,HOH R        20.0422,Fall,1,1975-1975,6
LAKE CR      20.0313,QUHO,SOLDUC HATCHERY,SOL DUC R   20.0096,Fall,1,1973-1973,260
LAKE CR X WINFIELD,QUHO,SOLDUC HATCHERY,SOL DUC R   20.0096,Fall,1,1972-1972,83
NEMAH R      24.0460,QEQU,QUINAULT NFH -COOK C,COOK CR      21.0429,Fall,1,1973-1973,167
NEMAH R X COOK CR,QUHO,SOLDUC HATCHERY,SOL DUC R   20.0096,Fall,1,1971-1971,45
NEMAH X DESCHUTES R,QEQU,QUINAULT NFH -COOK C,COOK CR      21.0429,Fall,1,1976-1976,190
PORTAGE BAY STOCK UW,QEQU,QUINAULT LK HATCHERY,RAFT R       21.0337,Fall,1,1977-1977,5
QUEETS R     21.0016,QEQU,QUINAULT LK HATCHERY,SALMON R     21.0139,Fall,6,1977-1983,534
QUEETS R     21.0016,QEQU,SALMON R FISH CULTUR,SALMON R     21.0139,Fall,33,1986-2021,10808
QUEETS R     21.0016,QEQU,SALMON R FISH CULTUR,SALMON R -MF 21.0139,Fall,1,2005-2005,875
QUILLAYUTE +SOL DUC,QUHO,LONESOME CR HATCHERY,SOL DUC R   20.0096,Spring,1,1990-1990,261
QUILLAYUTE R 20.0096,QEQU,QUINAULT LK HATCHERY,SALMON R     21.0139,Fall,1,1979-1979,88
QUILLAYUTE R 20.0096,QUHO,EAGLE CREEK HATCHERY,QUILLAYUTE R 20.0096,Spring,2,1985-1986,151
QUILLAYUTE R 20.0096,QUHO,LONESOME CR HATCHERY,QUILLAYUTE R 20.0096,Spring,3,1987-1991,315
QUILLAYUTE R 20.0096,QUHO,LONESOME CR HATCHERY,SOL DUC R   20.0096,Spring,1,2007-2007,78
QUILLAYUTE R 20.0096,QUHO,SOLDUC HATCHERY,QUILLAYUTE R 20.0096,Fall,1,1987-1987,63
QUILLAYUTE R 20.0096,QUHO,SOLDUC HATCHERY,SOL DUC R   20.0096,Fall,1,1971-1971,174
QUINAULT + SALMON R,QEQU,SALMON R FISH CULTUR,SALMON R     21.0139,Fall,1,1985-1985,215
QUINAULT LK   (21),QEQU,QUINAULT LK HATCHERY,QUINAULT LK (GRAY),Fall,12,1998-2020,11136
QUINAULT LK   (21),QEQU,QUINAULT NFH -COOK C,COOK CR      21.0429,Fall,4,1995-2004,263
QUINAULT R   21.0398,QEQU,QUINAULT LK HATCHERY,QUINAULT LK (GRAY),Fall,17,1991-2014,18602
QUINAULT R   21.0398,QEQU,QUINAULT LK HATCHERY,QUINAULT R   21.0398,Fall,8,1978-1990,2806
QUINAULT R   21.0398,QEQU,QUINAULT LK HATCHERY,QUINAULT R -BELOW LK,Fall,1,1991-1991,53
QUINAULT R   21.0398,QEQU,QUINAULT LK HATCHERY,SALMON R     21.0139,Fall,1,1978-1978,33
QUINAULT R   21.0398,QEQU,QUINAULT NFH -COOK C,COOK CR      21.0429,Fall,10,1984-2001,3790
QUINAULT X GEO ADAMS,QEQU,QUINAULT LK HATCHERY,RAFT R       21.0337,Fall,1,1977-1977,2
QUINAULT X GREEN R,QEQU,QUINAULT LK HATCHERY,RAFT R       21.0337,Fall,1,1977-1977,1
QUINAULT X GREEN R,QEQU,QUINAULT NFH -COOK C,COOK CR      21.0429,Fall,1,1974-1974,288
QUINAULT X HOH R,QEQU,QUINAULT NFH -COOK C,COOK CR      21.0429,Fall,1,1973-1973,28
QUINAULT X HOODSPORT,QEQU,QUINAULT NFH -COOK C,COOK CR      21.0429,Fall,1,1973-1973,22
QUINAULT X NEMAH R,QEQU,QUINAULT NFH -COOK C,COOK CR      21.0429,Fall,1,1975-1975,32
QUINAULT X QUEETS R,QEQU,QUINAULT LK HATCHERY,SALMON R     21.0139,Fall,1,1979-1979,54
QUINAULT X SAMISH,QEQU,QUINAULT LK HATCHERY,QUINAULT R   21.0398,Fall,1,1981-1981,78
QUINAULT X WILLAPA R,QEQU,QUINAULT NFH -COOK C,COOK CR      21.0429,Fall,2,1974-1975,181
