release_location_rmis_basin,hatchery_location_name,release_stage,run,number_of_broodyears,year_range,total_recoveries,use
ALSE,ELK R HATCHERY,NA,Fall,1,1973-1973,116,no
ALSE,FALL CR HATCHERY,S,Fall,4,1991-1995,313,no
ALSE,FALL CR HATCHERY,NA,Fall,8,1974-1986,801,yes
ALSE,TRASK R HATCHERY,NA,Fall,1,1973-1973,187,no
ALSE,NA,NA,Fall,1,1982-1982,1,no
CHET,BURNT HILL SALMON RA,NA,Fall,1,1979-1979,80,no
CHET,BURNT HILL SALMON RA,NA,Spring,4,1979-1982,723,no
CHET,ELK R HATCHERY,S,Fall,33,1986-2021,3588,yes
CHET,ELK R HATCHERY,NA,Fall,10,1974-1985,2162,yes
CHET,HUNTER CR (STEP),G,Fall,1,1989-1989,14,no
CHET,JACK CR (CHETCO R) STEP,F,Fall,1,1988-1988,13,no
CHET,JACK CR (CHETCO R) STEP,G,Fall,2,1989-1990,117,no
CHET,ORE-PAC SALMON RANCH,NA,Spring,5,1983-1988,1523,no
CHET,PISTOL R (STEP),F,Fall,1,1988-1988,9,no
CHET,PISTOL R (STEP),S,Fall,1,1989-1989,73,no
CHET,WINCHUCK R (STEP),F,Fall,1,1988-1988,10,no
CHET,WINCHUCK R (STEP),G,Fall,1,1989-1989,23,no
COOS,ANAD INC (COOS BAY),S,Fall,1,1970-1970,83,no
COOS,ANAD INC (COOS BAY),NA,Fall,9,1977-1985,3542,yes
COOS,ANAD INC (COOS BAY),NA,Spring,10,1978-1987,7974,yes
COOS,BANDON HATCHERY,G,Fall,6,1993-2020,1669,yes
COOS,BANDON HATCHERY,P,Fall,3,1996-2010,727,no
COOS,BANDON HATCHERY,S,Fall,4,2002-2005,896,no
COOS,BUTTE FALLS HATCHERY,S,Fall,3,1987-1989,254,no
COOS,BUTTE FALLS HATCHERY,NA,Fall,3,1983-1985,455,no
COOS,COLE RIVERS HATCHERY,S,Fall,11,1991-2021,1951,yes
COOS,COLE RIVERS HATCHERY,S,Spring,2,1994-1995,49,no
COOS,COOS BASIN STEP,S,Fall,1,2014-2014,26,no
COOS,COOS BAY-OFFSHORE PRIV,NA,Fall,2,1984-1985,113,no
COOS,COOS BAY-OFFSHORE PRIV,NA,Spring,4,1984-1987,1677,no
COOS,DOMSEA FARMS (SIUSLA,NA,Fall,5,1978-1982,168,no
COOS,ELK R HATCHERY,NA,Fall,1,1974-1974,134,no
COOS,MILLICOMA HATCHERY(STEP),P,Fall,8,2006-2018,262,yes
COOS,MILLICOMA HATCHERY(STEP),S,Fall,1,2013-2013,21,no
COOS,MORGAN CR (STEP-COOS,G,Fall,3,2000-2020,730,no
COOS,MORGAN CR (STEP-COOS,P,Fall,11,2007-2021,2212,yes
COOS,MORGAN CR (STEP-COOS,S,Fall,6,1999-2020,929,yes
COOS,NOBLE CR (STEP-COOS),G,Fall,4,1989-2007,1373,no
COOS,NOBLE CR (STEP-COOS),P,Fall,11,2008-2021,1228,yes
COOS,NOBLE CR (STEP-COOS),S,Fall,3,2006-2015,385,no
COOS,ORE-AQUA FOODS/COOS,NA,Fall,1,1980-1980,130,no
COOS,ORE-AQUA FOODS/COOS,NA,Spring,2,1978-1980,422,no
COOS,ORE-AQUA FOODS/YAQUI,NA,Fall,1,1980-1980,38,no
COOS,PRIORLI CR HATCHERY,G,Fall,1,1990-1990,58,no
COOS,PRIORLI CR HATCHERY,S,Fall,6,1990-1998,486,yes
COQU,BANDON HATCHERY,S,Fall,11,1990-2020,1152,yes
COQU,BANDON HATCHERY,S,Spring,1,1990-1990,5,no
COQU,BUTTE FALLS HATCHERY,S,Fall,8,1993-2003,657,yes
COQU,BUTTE FALLS HATCHERY,S,Spring,3,1988-1991,59,no
COQU,BUTTE FALLS HATCHERY,NA,Spring,2,1983-1985,154,no
COQU,COLE RIVERS HATCHERY,S,Fall,4,1986-2006,642,no
COQU,COLE RIVERS HATCHERY,NA,Fall,2,1983-1985,505,no
COQU,ELK R HATCHERY,S,Fall,1,2021-2021,7,no
COQU,OXBOW HATCHERY,NA,Fall,1,1984-1984,35,no
DESC,ROUND BUTTE HATCHERY,S,Spring,33,1988-2020,57012,yes
DESC,ROUND BUTTE HATCHERY,NA,Spring,13,1975-1987,11744,yes
DESC,ROUND BUTTE HATCHERY,NA,Summer,3,1976-1978,11,no
DESC,WARM SPRINGS NFH,G,Spring,2,1992-2011,546,no
DESC,WARM SPRINGS NFH,S,Spring,34,1978-2020,47033,yes
DESC,WARM SPRINGS NFH,NA,Spring,2,2013-2014,1147,no
DESC,NA,P,NA,8,2001-2008,90,yes
DESC,NA,NA,Fall,2,1978-1979,146,no
DESC,NA,NA,Spring,3,1977-1979,88,no
DESC,NA,NA,NA,1,1977-1977,82,no
HOO,BONNEVILLE HATCHERY,S,Spring,7,1986-1993,215,yes
HOO,CARSON NFH,S,Spring,2,2010-2011,143,no
HOO,PARKDALE,S,Spring,8,2000-2012,638,yes
HOO,POWERDALE DAM TRAP,S,Spring,1,1998-1998,5,no
HOO,ROUND BUTTE HATCHERY,S,Spring,16,1994-2011,3761,yes
