period,category,metric,value
2009-2018,Below Escapement Goal (t-1 to t+1 avg) & Above Mean ER at t,% of population-years,8.6
2009-2018,Below Escapement Goal (t-1 to t+1 avg) & Above Mean ER at t,N population-years,29
2009-2018,Below Escapement Goal (t-1 to t+1 avg) & Above Mean ER at t,N unique populations,16
2009-2018,Below Escapement Goal (t-1 to t+1 avg) & Above Mean ER at t,Populations,"Chilkat, Coquille, Coweeman, Cowichan, Grays Harbor Fall, Harrison, Nehalem Fall, Queets Fall, Siletz Fall, Siuslaw Fall, Skagit Spr, Skagit SumFall, Stikine, Stillaguamish, Taku, Unuk"
2009-2018,Below PSC 85% Goal (t-1 to t+1 avg) & Above Mean ER at t,% of population-years,5.1
2009-2018,Below PSC 85% Goal (t-1 to t+1 avg) & Above Mean ER at t,N population-years,17
2009-2018,Below PSC 85% Goal (t-1 to t+1 avg) & Above Mean ER at t,N unique populations,11
2009-2018,Below PSC 85% Goal (t-1 to t+1 avg) & Above Mean ER at t,Populations,"Coweeman, Cowichan, Harrison, Nehalem Fall, Siuslaw Fall, Skagit Spr, Skagit SumFall, Stikine, Stillaguamish, Taku, Unuk"
2009-2018,Overall,N population-years,336
2019-Present,Below Escapement Goal (t-1 to t+1 avg) & Above Mean ER at t,% of population-years,2.9
2019-Present,Below Escapement Goal (t-1 to t+1 avg) & Above Mean ER at t,N population-years,4
2019-Present,Below Escapement Goal (t-1 to t+1 avg) & Above Mean ER at t,N unique populations,3
2019-Present,Below Escapement Goal (t-1 to t+1 avg) & Above Mean ER at t,Populations,"Coquille, Stikine, Taku"
2019-Present,Below PSC 85% Goal (t-1 to t+1 avg) & Above Mean ER at t,% of population-years,2.9
2019-Present,Below PSC 85% Goal (t-1 to t+1 avg) & Above Mean ER at t,N population-years,4
2019-Present,Below PSC 85% Goal (t-1 to t+1 avg) & Above Mean ER at t,N unique populations,3
2019-Present,Below PSC 85% Goal (t-1 to t+1 avg) & Above Mean ER at t,Populations,"Coquille, Stikine, Taku"
2019-Present,Overall,N population-years,136
