region,period,n_below_goal_high_er,n_below_psc85_high_er,total_population_years,pct_below_goal_high_er,pct_below_psc85_high_er
LCR,2009-2018,3,3,20,15,15
LCR,2019-Present,0,0,8,0,0
MCR,2009-2018,0,0,10,0,0
MCR,2019-Present,0,0,4,0,0
NBC,2009-2018,0,0,10,0,0
NBC,2019-Present,0,0,4,0,0
OC,2009-2018,3,2,30,10,6.7
OC,2019-Present,0,0,12,0,0
OP,2009-2018,3,0,40,7.5,0
OP,2019-Present,0,0,16,0,0
ORC,2009-2018,1,0,20,5,0
ORC,2019-Present,2,2,8,25,25
PS,2009-2018,7,5,50,14,10
PS,2019-Present,0,0,20,0,0
SBC,2009-2018,4,4,46,8.7,8.7
SBC,2019-Present,0,0,20,0,0
SEAK,2009-2018,8,3,40,20,7.5
SEAK,2019-Present,2,2,16,12.5,12.5
WCVI,2009-2018,0,0,70,0,0
WCVI,2019-Present,0,0,28,0,0
