population,region,mean_er,n_years_below_goal_high_er,years_below_goal_high_er,mean_er_when_below,n_years_below_psc85_high_er,years_below_psc85_high_er,mean_er_when_below_psc85
Chilkat River,SEAK,0.155,4,"2007, 2012, 2013, 2014",0.266,1,2007,0.306
Unuk,SEAK,0.272,4,"2012, 2013, 2014, 2016",0.458,3,"2012, 2013, 2016",0.487
Atnarko,NBC,0.337,1,2012,0.478,0,NA,NA
Cowichan River Fall,SBC,0.593,9,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014",0.727,9,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2014",0.727
Harrison River,SBC,0.34,5,"2000, 2006, 2008, 2017, 2019",0.509,5,"2000, 2006, 2008, 2017, 2019",0.509
Lower Shuswap,SBC,0.363,2,"2012, 2016",0.418,2,"2012, 2016",0.418
Hoh Fall,OP,0.443,0,NA,NA,0,NA,NA
Queets Fall,OP,0.443,4,"2007, 2018, 2022, 2023",0.57,4,"2007, 2018, 2022, 2023",0.57
Quillayute Fall,OP,0.443,1,2014,0.484,0,NA,NA
Skagit Spr,PS,0.295,6,"2000, 2003, 2004, 2005, 2007, 2008",0.364,6,"2000, 2003, 2004, 2005, 2007, 2008",0.364
Skagit SumFall,PS,0.361,8,"2001, 2003, 2009, 2011, 2014, 2015, 2017, 2018",0.455,5,"2003, 2009, 2011, 2014, 2018",0.417
Columbia Summers,COL,0.353,0,NA,NA,0,NA,NA
Columbia Upriver Brights,COL,0.257,0,NA,NA,0,NA,NA
Lewis River Wild,COL,0.346,3,"2006, 2007, 2008",0.467,1,2007,0.577
Nehalem Fall,OC,0.346,4,"2008, 2009, 2018, 2022",0.456,2,"2018, 2022",0.524
Siletz Fall,OC,0.346,3,"2007, 2008, 2009",0.405,2,"2008, 2009",0.389
Siuslaw Fall,OC,0.346,8,"2007, 2008, 2009, 2016, 2018, 2021, 2022, 2023",0.419,8,"2007, 2008, 2009, 2016, 2018, 2021, 2022, 2023",0.419
Stikine River,NA,0.111,3,"2009, 2021, 2022",0.15,2,"2021, 2022",0.14
Taku River,NA,0.05,3,"2012, 2017, 2021",0.078,2,"2017, 2021",0.065
