region,period,n_below_goal_high_er,n_below_psc85_high_er,total_population_years,pct_below_goal_high_er,pct_below_psc85_high_er
LCR,2009-2018,4,3,20,20,15
LCR,2019-Present,0,0,10,0,0
MCR,2009-2018,0,0,10,0,0
MCR,2019-Present,0,0,5,0,0
NBC,2009-2018,1,0,20,5,0
NBC,2019-Present,0,0,10,0,0
OC,2009-2018,4,2,30,13.3,6.7
OC,2019-Present,2,2,15,13.3,13.3
OP,2009-2018,11,7,50,22,14
OP,2019-Present,6,5,25,24,20
ORC,2009-2018,1,1,20,5,5
ORC,2019-Present,4,4,10,40,40
PS,2009-2018,7,5,50,14,10
PS,2019-Present,1,0,25,4,0
SBC,2009-2018,5,5,46,10.9,10.9
SBC,2019-Present,0,0,25,0,0
SEAK,2009-2018,12,5,40,30,12.5
SEAK,2019-Present,2,2,20,10,10
