population,region,mean_er,n_years_below_goal_high_er,years_below_goal_high_er,mean_er_when_below,n_years_below_psc85_high_er,years_below_psc85_high_er,mean_er_when_below_psc85
Coweeman,LCR,0.448,4,"2005, 2014, 2017, 2018",0.515,4,"2005, 2014, 2017, 2018",0.515
Lewis,LCR,0.312,3,"2007, 2008, 2009",0.484,1,2007,0.569
Columbia Upriver Brights,MCR,0.325,0,NA,NA,0,NA,NA
Atnarko,NBC,0.311,1,2012,0.406,0,NA,NA
Kitsumkalum,NBC,0.41,0,NA,NA,0,NA,NA
Nehalem Fall,OC,0.387,5,"2006, 2007, 2009, 2018, 2022",0.5,4,"2006, 2007, 2009, 2022",0.449
Siletz Fall,OC,0.387,2,"2007, 2009",0.42,1,2007,0.424
Siuslaw Fall,OC,0.387,3,"2007, 2018, 2022",0.505,3,"2007, 2018, 2022",0.505
Grays Harbor Fall,OP,0.447,7,"2007, 2009, 2012, 2013, 2014, 2016, 2021",0.559,2,"2009, 2016",0.506
Hoh Fall,OP,0.447,0,NA,NA,0,NA,NA
Queets Fall,OP,0.445,3,"2007, 2018, 2022",0.569,3,"2007, 2018, 2022",0.569
Queets SprSum,OP,0.29,9,"2007, 2009, 2013, 2014, 2018, 2019, 2020, 2021, 2022",0.355,9,"2007, 2009, 2013, 2014, 2018, 2019, 2020, 2021, 2022",0.355
Quillayute Fall,OP,0.447,1,2014,0.483,0,NA,NA
Coquille,ORC,0.22,4,"2018, 2019, 2021, 2022",0.27,4,"2018, 2019, 2021, 2022",0.27
South Umpqua,ORC,0.22,2,"2005, 2019",0.303,1,2019,0.259
Nooksack,PS,0.377,0,NA,NA,0,NA,NA
Skagit Spr,PS,0.258,10,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2014",0.303,8,"2000, 2002, 2003, 2004, 2005, 2007, 2008, 2014",0.311
Skagit SumFall,PS,0.327,6,"2001, 2003, 2014, 2015, 2017, 2018",0.467,3,"2003, 2014, 2018",0.432
Snohomish,PS,0.299,1,2021,0.427,0,NA,NA
Stillaguamish,PS,0.35,3,"2007, 2014, 2015",0.537,2,"2014, 2015",0.536
Cowichan,SBC,0.546,5,"2006, 2008, 2009, 2010, 2014",0.627,5,"2006, 2008, 2009, 2010, 2014",0.627
Harrison,SBC,0.396,4,"2000, 2006, 2008, 2017",0.493,4,"2000, 2006, 2008, 2017",0.493
Lower Shuswap,SBC,0.377,1,2012,0.417,1,2012,0.417
Nicola,SBC,0.095,0,NA,NA,0,NA,NA
Phillips,SBC,0.304,0,NA,NA,0,NA,NA
Chilkat,SEAK,0.156,4,"2007, 2012, 2013, 2014",0.264,1,2007,0.302
Stikine,SEAK,0.102,3,"2009, 2017, 2021",0.124,2,"2017, 2021",0.104
Taku,SEAK,0.045,4,"2012, 2013, 2017, 2021",0.069,2,"2017, 2021",0.064
Unuk,SEAK,0.21,4,"2012, 2013, 2014, 2016",0.396,3,"2012, 2013, 2016",0.421
